UUT_Order|UUT_SOURCE|DeviceA2C|Equipment Function|Serial Number|Station Name||||Product Time|TestStand Name|Login Name|Execution Time|TestScoket|BatchSerialNumber|Error Code|Error Message||||||||||||||TestStatus|
1|EV|123456|EP|12345612345600007|ADVANTEC-6DF960||||131108092901|Î÷ÍþÐ¡°æ|a  3|9916.000|-1||0|Running Running|||||||||||||Passed|
Step_Order|Step_Source|Serical_Number|ProductionTime|ErrorCode|ErrorMessage|ModuleTime|TotalTime|StepName|Step_Status|ReportText|Loop_Index|Interactive_Exenum|Num_Loops|Num_Passed|Num_Failed|Ending_Loop_Index|Step_Index|Order_Num|StepGroup|StepType|Step_PassFail|Multiple_SubName|Units|Comp|Limit.Step_Data|Limit.Low|Limit.High|Result_String|Limits_String|
79|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Z|MM|NULL|52.652|0|0|NULL|NULL|
80|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|StringValueTest|Passed|Dispense Mode|NULL|NULL|0|0|0|Line|NULL|
81|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|StringValueTest|Passed|Valve Type|NULL|NULL|0|0|0|Needle Valve|NULL|
82|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|StringValueTest|Passed|Teach Mode|NULL|NULL|0|0|0|By Nozzle|NULL|
83|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Valve Tilt Angle|Deg|NULL|0|0|0|NULL|NULL|
84|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Valve Rotation Angle|Deg|NULL|0|0|0|NULL|NULL|
85|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Speed|MM/S|NULL|80.000|0|0|NULL|NULL|
86|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Pre-Spray|S|NULL|0.000|0|0|NULL|NULL|
87|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Valve Pre-On|MM|NULL|0.000|0|0|NULL|NULL|
88|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Valve On Delay|S|NULL|0.000|0|0|NULL|NULL|
89|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Spray Gap|MM|NULL|0.000|0|0|NULL|NULL|
90|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Pull Back Distance|MM|NULL|0.000|0|0|NULL|NULL|
91|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Stay Time|S|NULL|0.000|0|0|NULL|NULL|
92|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Valve On Time|S|NULL|0.020|0|0|NULL|NULL|
93|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Shut Off Distance|MM|NULL|0|0|0|NULL|NULL|
94|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|Start Distance|MM|NULL|0.000|0|0|NULL|NULL|
95|ME|12345612345600007|131108092906|0|Running Running|0.000|0.000|Purge5|Passed||0||1|1|0|1|0|0|Main|NI_MultipleNumericLimitTest|Passed|End Distance|MM|NULL|0.000|0|0|NULL|NULL|
